;parameters;modelo;auc_tr;accuracy_tr;precision_tr;recall_tr;f1_tr;Matriz_tr;auc_te;accuracy_te;precision_te;recall_te;f1_te;Matriz_te
0;{'n_estimators': 91, 'max_depth': 4, 'min_data_in_leaf': 132, 'learning_rate': 0.6369387755102041};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.7238611111111112;0.5833333333333334;0.5027295008912656;0.45833333333333337;0.4661422655374268;"[[13  2  5  0]
 [ 1  2 15  2]
 [ 1  5 50  4]
 [ 2  3 10  5]]"
1;{'n_estimators': 165, 'max_depth': 8, 'min_samples_leaf': 35, 'criterion': 'gini'};RandomForest;0.9194765625000001;0.59375;0.3375;0.39479166666666665;0.3481601731601731;"[[ 47   0  33   0]
 [  8   0  72   0]
 [  2   0 238   0]
 [  3   0  77   0]]";0.7793472222222222;0.5916666666666667;0.3425480769230769;0.4041666666666667;0.3573848238482385;"[[13  0  7  0]
 [ 1  0 19  0]
 [ 2  0 58  0]
 [ 0  0 20  0]]"
2;{'n_estimators': 118, 'max_depth': 4, 'min_child_weight': 235, 'learning_rate': 0.6369387755102041};XGBoost;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.7537083333333333;0.5833333333333334;0.48124999999999996;0.4583333333333333;0.4535714285714285;"[[14  1  5  0]
 [ 1  2 16  1]
 [ 2  3 50  5]
 [ 3  4  9  4]]"
3;{'n_estimators': 72, 'max_depth': 3, 'min_data_in_leaf': 220, 'learning_rate': 0.1803673469387755};Lighgbm;0.9777960069444445;0.8270833333333333;0.8768444497815595;0.7635416666666667;0.8037346325820983;"[[ 67   0  12   1]
 [  2  46  32   0]
 [  5   5 229   1]
 [  2   1  22  55]]";0.7504861111111112;0.5833333333333334;0.44674594041682647;0.45;0.43594245306974805;"[[14  3  3  0]
 [ 2  1 15  2]
 [ 2  2 51  5]
 [ 3  3 10  4]]"
4;{'n_estimators': 137, 'max_depth': 1, 'min_samples_leaf': 142, 'criterion': 'gini'};RandomForest;0.7555954861111112;0.5;0.125;0.25;0.16666666666666666;"[[  0   0  80   0]
 [  0   0  80   0]
 [  0   0 240   0]
 [  0   0  80   0]]";0.6917916666666666;0.5;0.125;0.25;0.16666666666666666;"[[ 0  0 20  0]
 [ 0  0 20  0]
 [ 0  0 60  0]
 [ 0  0 20  0]]"
5;{'n_estimators': 33, 'max_depth': 17, 'min_child_weight': 93, 'learning_rate': 0.09883673469387755};XGBoost;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.7478055555555555;0.6166666666666667;0.5610119047619047;0.48333333333333334;0.48240498774035356;"[[14  0  6  0]
 [ 1  3 15  1]
 [ 3  2 53  2]
 [ 3  3 10  4]]"
6;{'n_estimators': 200, 'max_depth': 7, 'min_data_in_leaf': 240, 'learning_rate': 0.11514285714285714};Lighgbm;0.9865486111111113;0.8916666666666667;0.9284266705760634;0.8479166666666667;0.8810136370926644;"[[ 70   0   8   2]
 [  1  59  20   0]
 [  2   2 235   1]
 [  1   0  15  64]]";0.7634166666666666;0.6083333333333333;0.5112456987456987;0.4791666666666667;0.4844131989313031;"[[13  3  3  1]
 [ 1  3 14  2]
 [ 1  3 52  4]
 [ 3  4  8  5]]"
7;{'n_estimators': 106, 'max_depth': 18, 'min_samples_leaf': 64, 'criterion': 'gini'};RandomForest;0.8513559027777777;0.5583333333333333;0.34141252006420547;0.33958333333333335;0.30053951126626477;"[[ 29   0  51   0]
 [  4   0  76   0]
 [  1   0 239   0]
 [  1   0  79   0]]";0.7375;0.5833333333333334;0.38636363636363635;0.375;0.3431372549019608;"[[10  0 10  0]
 [ 0  0 20  0]
 [ 0  0 60  0]
 [ 0  0 20  0]]"
8;{'n_estimators': 60, 'max_depth': 19, 'min_child_weight': 171, 'learning_rate': 0.049918367346938775};XGBoost;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.7499444444444445;0.6083333333333333;0.5580357142857142;0.4791666666666667;0.47893276551813135;"[[14  0  6  0]
 [ 1  3 15  1]
 [ 3  3 52  2]
 [ 3  2 11  4]]"
9;{'n_estimators': 122, 'max_depth': 6, 'min_data_in_leaf': 108, 'learning_rate': 0.1803673469387755};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.7669861111111111;0.6;0.464516426725729;0.45000000000000007;0.43657834424932845;"[[15  1  3  1]
 [ 1  1 16  2]
 [ 0  4 54  2]
 [ 2  3 13  2]]"
10;{'n_estimators': 172, 'max_depth': 9, 'min_samples_leaf': 152, 'criterion': 'gini'};RandomForest;0.7627473958333334;0.5;0.125;0.25;0.16666666666666666;"[[  0   0  80   0]
 [  0   0  80   0]
 [  0   0 240   0]
 [  0   0  80   0]]";0.7030416666666668;0.5;0.125;0.25;0.16666666666666666;"[[ 0  0 20  0]
 [ 0  0 20  0]
 [ 0  0 60  0]
 [ 0  0 20  0]]"
11;{'n_estimators': 122, 'max_depth': 11, 'min_child_weight': 15, 'learning_rate': 0.2129795918367347};XGBoost;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.7620138888888889;0.625;0.5311179017061369;0.4875;0.47070018104500866;"[[16  0  4  0]
 [ 1  2 15  2]
 [ 2  2 54  2]
 [ 3  2 12  3]]"
12;{'n_estimators': 52, 'max_depth': 4, 'min_data_in_leaf': 54, 'learning_rate': 0.604326530612245};Lighgbm;1.0;1.0;1.0;1.0;1.0;"[[ 80   0   0   0]
 [  0  80   0   0]
 [  0   0 240   0]
 [  0   0   0  80]]";0.7370833333333333;0.5916666666666667;0.48189672646194387;0.4708333333333334;0.45476353560439803;"[[16  0  4  0]
 [ 1  1 16  2]
 [ 3  5 50  2]
 [ 3  5  8  4]]"
